순위,곡명,가수명,앨범명
1위,롤린 (Rollin'),브레이브걸스,Rollin'
2위,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,Justice
3위,라일락,아이유,IU 5th Album 'LILAC'
4위,운전만해 (We Ride),브레이브걸스,We Ride
5위,Celebrity,아이유,IU 5th Album 'LILAC'
6위,Timeless,SG 워너비,Sg Wanna Be+
7위,라라라,SG 워너비,My Friend
8위,내사람,SG 워너비,The Precious History
9위,Dynamite,방탄소년단,Dynamite (DayTime Version)
10위,내 손을 잡아,아이유,최고의 사랑 OST Part.4
11위,Coin,아이유,IU 5th Album 'LILAC'
12위,마.피.아. In the morning,ITZY (있지),GUESS WHO
13위,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)"
14위,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL
15위,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게
16위,On The Ground,로제 (ROSÉ),R
17위,멜로디,ASH ISLAND,멜로디
18위,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
19위,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix
20위,잠이 오질 않네요,장범준,잠이 오질 않네요
21위,그냥 안아달란 말야,다비치,그냥 안아달란 말야
22위,살다가,SG 워너비,살다가
23위,Blueming,아이유,Love poem
24위,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들)
25위,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇
26위,어푸 (Ah puh),아이유,IU 5th Album 'LILAC'
27위,Lovesick Girls,BLACKPINK,THE ALBUM
28위,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),쇼미더머니 9 Episode 1
29위,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
30위,ASAP,STAYC(스테이씨),STAYDOM
31위,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
32위,12:45 (Stripped),Etham,12:45 (Stripped)
33위,상상더하기,라붐 (LABOUM),Fresh Adventure
34위,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해
35위,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까
36위,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
37위,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아
38위,Dolphin,오마이걸 (OH MY GIRL),NONSTOP
39위,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix]
40위,오래된 노래,스탠딩 에그,오래된 노래
41위,맛 (Hot Sauce),NCT DREAM,맛 (Hot Sauce) - The 1st Album
42위,METEOR,창모 (CHANGMO),Boyhood
43위,2002,Anne-Marie,Speak Your Mind (Deluxe)
44위,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
45위,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다
46위,아로하,조정석,슬기로운 의사생활 OST Part 3
47위,봄 안녕 봄,아이유,IU 5th Album 'LILAC'
48위,아이와 나의 바다,아이유,IU 5th Album 'LILAC'
49위,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),케이시 (Kassy),너의 발걸음에 빛을 비춰줄게 (Prod. 조영수)
50위,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고
51위,사실 나는 (Feat.전건호),경서예지,사실 나는
52위,어떻게 지내 (Prod. By VAN.C),오반 (OVAN),어떻게 지내
53위,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
54위,Life Goes On,방탄소년단,BE
55위,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light
56위,봄날,방탄소년단,YOU NEVER WALK ALONE
57위,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP
58위,How You Like That,BLACKPINK,How You Like That
59위,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
60위,Memories,Maroon 5,Memories
61위,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),이렇게 좋아해 본 적이 없어요 (소녀의 세계 X CHEEZE(치즈))
62위,기다릴게,하동균,기다릴게
63위,Flu,아이유,IU 5th Album 'LILAC'
64위,마음을 드려요,아이유,사랑의 불시착 OST Part 11
65위,고백 (바른연애 길잡이 X 허각),허각,고백 (바른연애 길잡이 X 허각)
66위,Dance Monkey,Tones And I,The Kids Are Coming
67위,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
68위,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
69위,함께 했는데 이별은 나 혼자인 거야,소정 (레이디스 코드),함께 했는데 이별은 나 혼자인 거야
70위,When We Disco (Duet with 선미),박진영,When We Disco
71위,죄와벌,SG 워너비,살다가
72위,Love poem,아이유,Love poem
73위,너를 만나,폴킴,너를 만나
74위,Off My Face,Justin Bieber,Justice
75위,돌림노래 (Feat. DEAN),아이유,IU 5th Album 'LILAC'
76위,시작,가호 (Gaho),이태원 클라쓰 OST Part.2
77위,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
78위,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해
79위,우린 어쩌다 헤어진 걸까,허각,Hello
80위,혼술하고 싶은 밤,벤,혼술하고 싶은 밤
81위,Don't Start Now,Dua Lipa,Future Nostalgia
82위,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI),쇼미더머니 9 Episode 3
83위,닫힌엔딩 (Closed Ending),숀 (SHAUN),#0055b7
84위,되풀이,임창정,펜트하우스2 OST Part.1
85위,고래 (Dive Into You),NCT DREAM,맛 (Hot Sauce) - The 1st Album
86위,아리랑,SG 워너비,The Sentimental Chord
87위,거짓말이라도 해서 널 보고싶어,백지영,거짓말이라도 해서 널 보고싶어
88위,불어온다,하이라이트 (Highlight),The Blowing
89위,서면역에서,순순희,서면역에서
90위,안녕,폴킴,호텔 델루나 OST Part.10
91위,Downtown Baby,블루 (BLOO),Downtown Baby
92위,Gone,로제 (ROSÉ),R
93위,Maniac,Conan Gray,Maniac
94위,딩가딩가 (Dingga),마마무 (Mamamoo),딩가딩가 (Dingga)
95위,에필로그,아이유,IU 5th Album 'LILAC'
96위,술 한잔 해요,경서 (경서예지),술 한잔 해요
97위,응급실 (2021),황인욱,응급실 (2021)
98위,사랑은 지날수록 더욱 선명하게 남아,전상근,한 걸음 : 흔적
99위,마리아 (Maria),화사 (Hwa Sa),María
100위,안녕이란 (Two Letters),황치열,Be My Reason
