순위,곡명,가수명,앨범명
1위,롤린 (Rollin'),브레이브걸스,Rollin'
2위,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,Justice
3위,라일락,아이유,IU 5th Album 'LILAC'
4위,운전만해 (We Ride),브레이브걸스,We Ride
5위,Celebrity,아이유,IU 5th Album 'LILAC'
6위,Timeless,SG 워너비,Sg Wanna Be+
7위,라라라,SG 워너비,My Friend
8위,내사람,SG 워너비,The Precious History
9위,Dynamite,방탄소년단,Dynamite (DayTime Version)
10위,내 손을 잡아,아이유,최고의 사랑 OST Part.4
11위,Coin,아이유,IU 5th Album 'LILAC'
12위,마.피.아. In the morning,ITZY (있지),GUESS WHO
13위,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)"
14위,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL
15위,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게
